"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",0.07,0.04,0.07,0.1,0.06,0.06,1039.74,0.04,0.03,0.05,0.04,0.07,0.03,0.05,0.1,0.04,0.06,0.06,0.12,0.04,0.09,0.04,0.1,0.06,0.06,0.07,0.07,244.87,0.06,0.07,0.09,0.05,0.09,934.41,0.08,0.07,0.07,0.06,0.06,0.07,0.18,0.07,0.05,0.05,0.07,0.14,0.05,306.16,863.26,0.06
"50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",505.53,0.4,678.59,0.77,567.46,1671.99,609.52,181.67,1101.84,3609.21,3202.41,554.87,0.3,380.53,491.79,495.58,462.07,597.49,1526.03,3118.32,891.61,0.38,1444.72,604.62,1977.92,0.58,1820.43,471.62,764.54,0.56,0.7,2360.07,0.67,0.69,0.65,0.58,550.86,0.52,218.59,1144.5,1.15,0.58,269.69,0.47,0.55,911.71,0.42,1035.77,1.53,0.52
"52",0.03,0.01,0.03,0.06,0.02,0.02,0.03,0.01,0.01,0.02,0.01,0.03,0.01,0.02,0.06,0.01,0.02,0.02,367.55,0.01,0.04,0.01,0.06,0.02,0.02,0.03,0.03,0.05,0.02,114.33,0.05,0.02,0.04,0.04,0.04,2208.33,0.03,755.66,0.02,0.03,0.14,0.03,0.02,1196.79,0.03,0.1,0.02,0.01,0.25,0.03
"53",0.16,6591.6,0.11,0.27,4488.46,0.14,0.16,0.08,0.11,1219.71,0.09,725.95,0.06,512.71,0.19,626.84,0.13,1042.08,1451.04,908.65,389.67,1263.7,10682.12,0.36,0.3,1160.33,0.15,0.59,0.13,925.41,0.28,0.31,5111.17,0.54,3373.05,0.23,0.15,0.12,5652.55,0.2,4584.7,0.21,0.14,2389.18,6778.47,4511.62,0.12,0.1,0.71,0.23
"54",0.21,0.16,0.21,0.28,0.19,0.19,471.27,0.16,541.73,0.17,0.16,0.22,0.12,0.18,0.27,512.5,0.19,0.19,0.31,0.14,270.13,0.15,0.27,0.2,400.38,0.22,0.22,0.25,0.2,0.21,0.25,0.16,550.38,875.97,312.55,0.22,0.21,0.2,0.19,129.43,0.38,0.22,0.18,0.18,0.21,0.34,0.17,0.16,0.49,651.05
"55",341.56,1595.32,0.64,1202.31,0.29,1841.66,376.63,438.49,0.21,423.63,1049.05,1167.96,0.2,582.64,0.82,0.28,176.22,1512.68,381.96,1524.21,161.68,299.78,0.82,360.44,0.35,0.39,830.86,0.46,3008.35,434.38,0.42,0.24,384.85,1554.37,0.33,0.36,610.6,0.3,0.31,0.34,0.66,0.32,0.28,0.31,0.33,1096.33,0.24,0.26,1.46,0.31
"56",1622.51,0.88,1588.21,4957.33,6161.9,1.05,3663.7,1129.04,974.05,3282.82,0.9,1581.49,850.36,0.97,1.5,219.1,231.85,756.48,943.36,1798.01,577.18,1838.06,286.82,2174.63,3371.76,767.66,1.21,786.35,2093.25,1767,742.93,1544.23,1.36,3254.99,3639.36,1128.59,793.57,1.11,790.03,2239.18,3901.91,1235.06,2136.79,1629.42,386.57,1274.76,3743.01,0.87,1348.11,1111.02
"57",0.27,0.2,2019.05,0.35,0.24,0.24,599.65,988.37,0.16,1331.08,0.21,399.29,176.92,0.22,0.35,1011.57,0.24,0.24,0.4,0.18,0.31,0.2,728.52,0.25,0.24,0.28,0.28,0.32,0.25,0.27,1151.92,2196.61,0.32,0.32,0.31,1088.74,512.37,0.26,892.64,0.28,3804.39,0.28,986.59,0.23,0.27,0.43,0.22,0.2,689.29,0.25
